Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
"2000000000203";"Produto";"CHINELO ADULTO IPANEMA";7.59;10.00;0.00;0.00;"Unidade";"Não";"CHINELOS";"";"Sim";0.000;0.000;"IPANEMA";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO ADULTO IPANEMA";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000204";"Produto";"CHINELO MASCULINO ADULTO KENNER";18.00;35.00;0.00;0.00;"Unidade";"Não";"CHINELO MASCULINO";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO MASCULINO ADULTO KENNER";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000205";"Produto";"DESODORANTE ROOL ON AVON";5.98;9.50;0.00;0.00;"Unidade";"Sim";"COSMETICOS AVON";"COSMETICOS AVON";"Sim";0.000;5.000;"AVON";"";"";"";"";"";"";"";"";"";"";"";"";"DESODORANTE ROOL ON AVON";0.00;9.50;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000206";"Produto";"CREME RENEW ULTIMATE AVON";47.60;68.00;0.00;0.00;"Unidade";"Não";"COSMETICOS AVON";"COSMETICOS AVON";"Sim";0.000;0.000;"AVON";"";"";"";"";"";"";"";"";"";"";"";"";"CREME RENEW ULTIMATE AVON";0.00;68.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000207";"Produto";"BRINQUEDOS PREÇO UNICO 25";12.67;25.00;0.00;0.00;"Unidade";"Sim";"BRINQUEDOS";"BRINQUEDOS";"Sim";0.000;19.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BRINQUEDOS PREÇO UNICO 25";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000208";"Produto";"BRINQUEDOS PREÇO UNICO 15";8.33;15.00;0.00;0.00;"Unidade";"Sim";"BRINQUEDOS";"";"Sim";0.000;3.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BRINQUEDOS PREÇO UNICO 15";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000209";"Produto";"SANDALIA VERSATIL";35.00;70.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"TIC TAC";"";"";"";"";"";"";"";"";"";"";"";"";"SANDALIA VERSATIL";0.00;70.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000210";"Produto";"TAMANCO SALTO VERSATIL";49.90;90.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"TIC TAC";"";"";"";"";"";"";"";"";"";"";"";"";"TAMANCO SALTO VERSATIL";0.00;90.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000211";"Produto";"CHINELOS DIVERSOS LM PROMOÇÃO";9.43;10.00;0.00;0.00;"Unidade";"Sim";"CHINELOS";"CALÇADOS";"Sim";0.000;14.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELOS DIVERSOS LM PROMOÇÃO";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000212";"Produto";"CHINELO INFANTIL TIRA LARGA PERSONAGENS";11.90;22.00;0.00;0.00;"Unidade";"Não";"CHINELO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO INFANTIL TIRA LARGA PERSONAGENS";0.00;22.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000213";"Produto";"BOTA CUTURNO FEMININO";35.00;50.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BOTA CUTURNO FEMININO";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000214";"Produto";"PAPETE MASCULINO INFANTIL";19.00;30.00;0.00;0.00;"Unidade";"Não";"CALÇADO INFANTIL";"CALÇADO INFANTIL";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"PAPETE MASCULINO INFANTIL";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000215";"Produto";"RASTEIRA ADULTO FEMININA PROMOÇAO";10.00;10.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"RASTEIRA ADULTO FEMININA PROMOÇAO";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000216";"Produto";"SANDALIA INFANTIL BLIM BLIM";21.90;30.00;0.00;0.00;"Unidade";"Não";"CALÇADO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"SANDALIA INFANTIL BLIM BLIM";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000217";"Produto";"SANDALIA RASTEIRA / RASTEIRA LAÇO ADULTO";13.69;25.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"BIRIGUI";"";"";"";"";"";"";"";"";"";"";"";"";"SANDALIA RASTEIRA / RASTEIRA LAÇO ADULTO";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000218";"Produto";"SAPATILHA PRETA INFANTIL";13.00;25.00;0.00;0.00;"Unidade";"Não";"CALÇADO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"BIRIGUI";"";"";"";"";"";"";"";"";"";"";"";"";"SAPATILHA PRETA INFANTIL";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000219";"Produto";"SAPATILHA FEMININA CONFORT";16.00;30.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"BIRIGUI";"";"";"";"";"";"";"";"";"";"";"";"";"SAPATILHA FEMININA CONFORT";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000220";"Produto";"SAPATO FEMININO MULE";16.90;30.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"BIRIGUI";"";"";"";"";"";"";"";"";"";"";"";"";"SAPATO FEMININO MULE";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000221";"Produto";"TENIS FEMININO MARSALLA";10.00;15.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"BIRIGUI";"";"";"";"";"";"";"";"";"";"";"";"";"TENIS FEMININO MARSALLA";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000222";"Produto";"TENIS FEMININO DIVERSOS";21.50;25.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"BIRIGUI";"";"";"";"";"";"";"";"";"";"";"";"";"TENIS FEMININO DIVERSOS";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000223";"Produto";"TENIS INFANTIL/JUVENIL/ CHUTEIRA";18.00;30.00;0.00;0.00;"Unidade";"Não";"CALÇADO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"BIRIGUI";"";"";"";"";"";"";"";"";"";"";"";"";"TENIS INFANTIL/JUVENIL/ CHUTEIRA";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000224";"Produto";"TENIS MASCULINO ADULTO RM SPORTS";35.00;50.00;0.00;0.00;"Unidade";"Não";"CALÇADO MASCULINO";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"TENIS MASCULINO ADULTO RM SPORTS";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000225";"Produto";"ADESIVOS PARA UNHAS";1.07;3.00;0.00;0.00;"Unidade";"Sim";"COSMETICOS DIVERSOS";"COSMETICOS";"Sim";0.000;43.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"ADESIVOS PARA UNHAS";0.00;3.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000226";"Produto";"ALARGADOR DE ORELHA";1.00;2.00;0.00;0.00;"Unidade";"Sim";"BIJUTERIAS";"ACESSORIOS";"Sim";0.000;9.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"ALARGADOR DE ORELHA";0.00;2.00;0.000;0.000;0.000;0.000;"";"";"";""
